Player,Season,Team,Shoots,Pos,GP,G,A,P,PlusMinus,PIM,PtsPerGm,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,ShotPct,FOWPct,TOI
Matt Nieto,20192020,COL,L,L,65,8,12,20,7,4,0.31,6,18,0,0,2,2,0,3,80,10,40,13.26666667
Alex Chiasson,20192020,EDM,R,R,60,8,12,20,-5,40,0.33,3,8,5,12,0,0,0,2,92,8.7,0,13.16666667
Kirby Dach,20192020,CHI,R,C,59,8,12,20,-3,20,0.34,8,17,0,3,0,0,0,2,96,8.3,32.6,14.2
Pierre-Edouard Bellemare,20192020,COL,L,C,64,8,12,20,3,12,0.31,6,16,0,0,2,4,0,0,76,10.5,52.8,13.25
Kaapo Kakko,20192020,NYR,L,R,61,8,12,20,-23,14,0.33,6,8,2,12,0,0,1,2,100,8,33.3,14.45
Mike Matheson,20192020,FLA,L,D,56,8,12,20,1,12,0.36,7,18,1,2,0,0,0,1,101,7.9,--,17.98333333
Joel Farabee,20192020,PHI,L,L,49,7,13,20,5,39,0.41,6,18,1,2,0,0,0,1,74,9.5,30,14.21666667
Tyson Jost,20192020,COL,L,C,62,7,13,20,16,20,0.32,7,18,0,2,0,0,0,0,106,6.6,34,12.35
Corey Perry,20192020,DAL,R,R,53,5,15,20,0,66,0.38,4,14,1,6,0,0,0,0,69,7.3,40,13.58333333
Alexander Wennberg,20192020,CBJ,L,C,54,5,15,20,-2,16,0.37,4,15,1,5,0,0,0,1,66,7.6,46.4,16.53333333
Mikko Koivu,20192020,MIN,L,C,51,4,16,20,5,28,0.39,3,12,1,7,0,1,0,0,69,5.8,53,15.75
Nick Leddy,20192020,NYI,L,D,56,3,17,20,-2,14,0.36,2,16,1,4,0,0,0,0,71,4.2,--,21.05
Zemgus Girgensons,20192020,BUF,L,C,65,12,7,19,2,10,0.29,11,18,0,0,1,1,0,1,79,15.2,41.1,13.71666667
Josh Archibald,20192020,EDM,R,R,57,11,8,19,-8,12,0.33,9,16,0,0,2,3,1,3,60,18.3,0,13.28333333
Ryan Hartman,20192020,MIN,R,R,65,9,10,19,7,67,0.29,8,18,1,1,0,0,0,1,104,8.7,54.4,12.21666667
Conor Sheary,20192020,"BUF,PIT",L,L,58,9,10,19,-8,8,0.33,8,16,1,3,0,0,0,1,93,9.7,25,13.06666667
Emil Bemstrom,20192020,CBJ,R,C,53,9,10,19,-7,6,0.36,4,11,5,8,0,0,1,4,89,10.1,30.8,12.01666667
Anders Bjork,20192020,BOS,L,L,57,9,10,19,5,10,0.33,8,18,1,1,0,0,0,0,66,13.6,40,12.96666667
Brad Hunt,20192020,MIN,L,D,55,8,11,19,-4,4,0.35,5,9,3,10,0,0,0,0,101,7.9,--,15.38333333
Josh Leivo,20192020,VAN,R,L,36,7,12,19,0,4,0.53,7,14,0,5,0,0,0,0,69,10.1,58.8,15.01666667
Joel Edmundson,20192020,CAR,L,D,64,6,13,19,5,70,0.3,6,19,0,0,0,0,0,0,88,6.8,--,18.23333333
Anton Stralman,20192020,FLA,R,D,66,5,14,19,-5,12,0.29,5,18,0,0,0,1,0,3,87,5.8,--,21.06666667
Connor Murphy,20192020,CHI,R,D,53,5,14,19,1,23,0.36,5,18,0,0,0,1,0,0,110,4.5,--,21.16666667
Brandon Carlo,20192020,BOS,R,D,65,4,15,19,16,31,0.29,4,19,0,0,0,0,0,0,108,3.7,--,20.68333333
Matt Grzelcyk,20192020,BOS,L,D,64,3,16,19,14,34,0.3,3,12,0,6,0,1,0,0,111,2.7,--,18.05
Jake Gardiner,20192020,CAR,L,D,64,3,16,19,-22,30,0.3,3,11,0,8,0,0,1,1,78,3.9,--,16.8
Justin Braun,20192020,PHI,R,D,58,3,16,19,0,14,0.33,3,18,0,1,0,0,0,0,65,4.6,--,17.31666667
Christopher Tanev,20192020,VAN,R,D,65,2,17,19,3,39,0.29,2,17,0,1,0,1,1,1,42,4.8,--,19.61666667
Oskar Lindblom,20192020,PHI,L,L,30,11,7,18,4,4,0.6,8,14,3,4,0,0,0,0,72,15.3,40.6,17.61666667
Mark Pysyk,20192020,FLA,R,D,55,9,9,18,4,20,0.33,9,18,0,0,0,0,0,1,60,15,50,12.8
Kyle Okposo,20192020,BUF,R,R,48,9,9,18,-2,28,0.38,8,17,1,1,0,0,0,2,71,12.7,54.1,12.66666667
Nick Paul,20192020,OTT,L,L,51,8,10,18,0,24,0.35,8,17,0,1,0,0,0,2,93,8.6,51.3,14.4
Milan Lucic,20192020,CGY,L,L,65,7,11,18,-6,54,0.28,2,11,5,7,0,0,0,1,78,9,40.9,13.3
Tyler Pitlick,20192020,PHI,R,C,59,7,11,18,9,12,0.31,7,18,0,0,0,0,0,0,71,9.9,29.4,11.96666667
