Player,Season,Team,Shoots,Pos,GP,G,A,P,PlusMinus,PIM,PtsPerGm,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,ShotPct,FOWPct,TOI
Loui Eriksson,20192020,VAN,L,L,46,6,6,12,-1,12,0.26,6,12,0,0,0,0,0,0,57,10.5,100,12.4
Shayne Gostisbehere,20192020,PHI,L,D,41,5,7,12,-3,20,0.29,4,7,1,5,0,0,0,1,73,6.8,--,18.35
Nick Holden,20192020,VGK,L,D,57,5,7,12,-1,13,0.21,4,10,1,1,0,1,0,0,96,5.2,--,19.05
Cody Glass,20192020,VGK,R,C,39,5,7,12,-7,6,0.31,4,6,1,6,0,0,0,1,51,9.8,42,13.36666667
Victor Rask,20192020,MIN,L,C,42,4,8,12,6,6,0.29,4,12,0,0,0,0,0,2,37,10.8,43.4,10.5
Denis Malgin,20192020,"FLA,TOR",R,C,40,4,8,12,-8,14,0.3,3,10,1,1,0,1,0,0,48,8.3,39.9,12.15
Travis Hamonic,20192020,CGY,R,D,50,3,9,12,-3,27,0.24,3,12,0,0,0,0,0,0,83,3.6,--,21.2
Jake McCabe,20192020,BUF,L,D,62,2,10,12,-10,41,0.19,2,12,0,0,0,0,0,1,69,2.9,--,18.66666667
Ron Hainsey,20192020,OTT,L,D,59,1,11,12,11,12,0.2,1,9,0,0,0,3,0,1,38,2.6,--,20.51666667
Ryan McDonagh,20192020,TBL,L,D,48,1,11,12,7,17,0.25,1,11,0,0,0,1,0,0,49,2,--,20.66666667
Max Jones,20192020,ANA,L,L,54,8,3,11,-6,30,0.2,7,10,0,0,1,1,0,0,95,8.4,42.3,14.2
Michael Grabner,20192020,ARI,L,L,45,8,3,11,-3,6,0.24,7,10,0,0,1,1,0,0,59,13.6,0,12.38333333
Antoine Roussel,20192020,VAN,L,L,37,6,5,11,-2,43,0.3,5,9,1,2,0,0,0,0,48,12.5,50,12.08333333
Sammy Blais,20192020,STL,L,L,35,6,5,11,-3,18,0.31,6,11,0,0,0,0,0,1,47,12.8,--,12.5
Eric Robinson,20192020,CBJ,L,L,47,6,5,11,9,12,0.23,6,11,0,0,0,0,0,2,66,9.1,36.4,10.9
Brad Richardson,20192020,ARI,L,C,56,6,5,11,0,20,0.2,5,9,0,0,1,2,0,3,71,8.4,54.7,13.66666667
Dylan Gambrell,20192020,SJS,R,C,45,5,6,11,-7,17,0.24,5,10,0,1,0,0,0,1,38,13.2,46.2,11.58333333
Nic Dowd,20192020,WSH,R,C,52,5,6,11,6,24,0.21,3,9,0,0,2,2,0,1,48,10.4,49.9,10.73333333
Max Comtois,20192020,ANA,L,L,29,5,6,11,-4,24,0.38,3,8,2,3,0,0,0,0,32,15.6,18.8,13.96666667
Erik Cernak,20192020,TBL,R,D,62,5,6,11,8,45,0.18,5,11,0,0,0,0,0,1,118,4.2,--,18.93333333
Trevor Lewis,20192020,LAK,R,C,52,5,6,11,-9,14,0.21,5,11,0,0,0,0,0,1,86,5.8,38.3,11.71666667
Dante Fabbro,20192020,NSH,R,D,60,5,6,11,-5,36,0.18,4,10,1,1,0,0,0,0,88,5.7,--,19
Dominic Toninato,20192020,FLA,L,C,44,4,7,11,3,33,0.25,4,11,0,0,0,0,0,0,35,11.4,47.1,11.21666667
Devin Shore,20192020,"ANA,CBJ",L,C,42,4,7,11,-11,8,0.26,4,9,0,2,0,0,0,1,49,8.2,47.7,11.86666667
Victor Mete,20192020,MTL,L,D,51,4,7,11,5,20,0.22,4,10,0,1,0,0,0,1,57,7,--,16
Zack Smith,20192020,CHI,L,C,50,4,7,11,2,29,0.22,3,9,0,0,1,2,0,1,43,9.3,46.3,11.78333333
Haydn Fleury,20192020,CAR,L,D,41,4,7,11,-3,6,0.27,4,10,0,0,0,1,0,0,62,6.5,--,13.1
Travis Dermott,20192020,TOR,L,D,52,4,7,11,16,35,0.21,4,11,0,0,0,0,0,1,61,6.6,--,16.85
Cody Eakin,20192020,"VGK,WPG",L,C,45,4,7,11,-8,16,0.24,4,10,0,1,0,0,0,0,55,7.3,47.3,14.6
Jack Johnson,20192020,PIT,L,D,62,3,8,11,0,22,0.18,2,10,0,0,1,1,0,0,60,5,--,19.9
Brendan Leipsic,20192020,WSH,L,L,61,3,8,11,3,13,0.18,3,10,0,1,0,0,0,1,49,6.1,42.9,9.166666667
Mike Green,20192020,"DET,EDM",R,D,50,3,8,11,-34,32,0.22,2,7,1,4,0,0,0,1,76,4,--,20.88333333
Jordan Martinook,20192020,CAR,L,L,41,2,9,11,-5,16,0.27,2,9,0,0,0,2,0,1,41,4.9,49.5,11.21666667
Mario Ferraro,20192020,SJS,L,D,59,2,9,11,-13,28,0.19,2,10,0,0,0,1,0,0,59,3.4,--,15.71666667
Johnny Boychuk,20192020,NYI,R,D,63,2,9,11,-9,14,0.17,1,10,1,1,0,0,0,0,94,2.1,--,17.36666667
Nicolas Hague,20192020,VGK,L,D,38,1,10,11,0,32,0.29,0,7,1,4,0,0,0,0,54,1.9,--,16.08333333
Colin Miller,20192020,BUF,R,D,49,1,10,11,-10,20,0.22,1,8,0,3,0,0,1,1,78,1.3,--,17.13333333
Mackenzie MacEachern,20192020,STL,L,L,48,7,3,10,2,23,0.21,7,10,0,0,0,0,0,2,60,11.7,25,8.833333333
Chris Wagner,20192020,BOS,R,R,63,6,4,10,-8,38,0.16,5,9,0,0,1,1,0,0,75,8,46.5,12.45
Kevin Stenlund,20192020,CBJ,R,C,29,6,4,10,1,6,0.34,3,5,3,5,0,0,0,1,50,12,40.3,13.83333333
Curtis Lazar,20192020,BUF,R,C,34,5,5,10,1,9,0.29,5,9,0,0,0,1,0,0,30,16.7,51.2,11.9
Austin Wagner,20192020,LAK,L,L,61,5,5,10,-5,34,0.16,5,10,0,0,0,0,0,0,120,4.2,33.3,11.91666667
Melker Karlsson,20192020,SJS,R,C,56,5,5,10,-8,18,0.18,5,10,0,0,0,0,0,0,49,10.2,48.3,12.05
Gaetan Haas,20192020,EDM,R,C,57,5,5,10,-1,6,0.18,5,9,0,1,0,0,0,0,54,9.3,42.1,9.666666667
Michael Dal Colle,20192020,NYI,L,L,50,4,6,10,-7,12,0.2,4,10,0,0,0,0,0,0,53,7.5,71.4,11.81666667
Nathan Gerbe,20192020,CBJ,L,C,30,4,6,10,-7,22,0.33,4,10,0,0,0,0,0,0,55,7.3,50,13.75
Adam Lowry,20192020,WPG,L,C,47,4,6,10,-3,18,0.21,3,8,0,0,1,2,0,1,64,6.3,53.9,15.08333333
Tobias Rieder,20192020,CGY,L,C,53,4,6,10,-12,6,0.19,3,8,0,0,1,2,0,0,73,5.5,20.8,11.08333333
Vladimir Tarasenko,20192020,STL,L,R,10,3,7,10,-2,0,1,2,7,1,3,0,0,0,0,26,11.5,--,16.18333333
Travis Boyd,20192020,WSH,R,C,24,3,7,10,9,2,0.42,3,9,0,1,0,0,0,0,26,11.5,42,11.75
