"Age","Gender","Education","Educ","Political","Mean_Animal_reminder","Mean_Contamination","Mean_core","Mean_general_ds"
37,"male",18,"Grad_Prof","left",1.25,1.25,2.09090909090909,1.65217391304348
19,"female",12,"HS","center",3.5,4,3.36363636363636,3.52173913043478
57,"female",NA,NA,"center",NA,NA,NA,NA
20,"female",12,"HS","center",3,2.5,3.27272727272727,3.04347826086957
28,"female",15,"Coll_Univ","center",1.875,2,2.72727272727273,2.30434782608696
25,"male",12,"HS","left",1.375,1,1.72727272727273,1.47826086956522
30,"male",12,"HS","left",2.625,1,1.36363636363636,1.73913043478261
20,"male",14,"HS","center",2.25,1.25,1.90909090909091,1.91304347826087
30,"male",16,"Coll_Univ","center",1,2.25,2,1.69565217391304
42,"male",12,"HS","center",2.375,1.5,1.90909090909091,2
29,"male",15,"Coll_Univ","center",3,2.5,3,2.91304347826087
51,"female",14,"HS","center",NA,NA,NA,NA
32,"female",15,"Coll_Univ","right",3,1.75,2.54545454545455,2.56521739130435
20,"female",12,"HS","left",NA,NA,NA,NA
32,"female",15,"Coll_Univ","center",3.5,3.75,3.27272727272727,3.43478260869565
29,"female",17,"Grad_Prof","left",1.75,0.75,2.45454545454545,1.91304347826087
19,"female",12,"HS","right",3.25,3.25,3.63636363636364,3.43478260869565
32,"male",NA,NA,"center",NA,NA,NA,NA
30,"female",15,"Coll_Univ","right",2.125,3.25,3.09090909090909,2.78260869565217
33,"male",15,"Coll_Univ","center",2.5,1.75,2.63636363636364,2.43478260869565
33,"male",15,"Coll_Univ","left",2.5,2.25,2.36363636363636,2.39130434782609
19.5,"male",13,"HS","right",0.875,2,1.72727272727273,1.47826086956522
46,"male",15,"Coll_Univ","left",2.5,2.25,2,2.21739130434783
34,"female",15,"Coll_Univ","left",3.5,3.25,2.90909090909091,3.17391304347826
23,"female",15,"Coll_Univ","center",2.375,3.25,3,2.82608695652174
26,"male",15,"Coll_Univ","right",2.125,3,2.18181818181818,2.30434782608696
30,"male",15,"Coll_Univ","left",1,2.5,2,1.73913043478261
56,"female",15,"Coll_Univ","left",2,2.25,2.90909090909091,2.47826086956522
36,"male",18,"Grad_Prof","center",3.125,2.75,2.63636363636364,2.82608695652174
23,"male",16,"Coll_Univ","center",1,2.75,2.36363636363636,1.95652173913043
26,"female",15,"Coll_Univ","right",2.75,2.75,3.45454545454545,3.08695652173913
45,"male",17,"Grad_Prof","left",2.75,2,2.18181818181818,2.34782608695652
30,"male",17,"Grad_Prof","right",2.5,2,2.54545454545455,2.43478260869565
30,"male",15,"Coll_Univ","left",2.25,1,2.27272727272727,2.04347826086957
19,"female",12,"HS","right",2.75,2,2.54545454545455,2.52173913043478
63,"female",15,"Coll_Univ","left",NA,NA,NA,NA
62,"male",17,"Grad_Prof","right",1.125,1.5,1.36363636363636,1.30434782608696
44,"female",15,"Coll_Univ","center",1.375,3,2.18181818181818,2.04347826086957
24,"female",14,"HS","center",2.375,1.5,2,2.04347826086957
35,"female",12,"HS","left",1.75,2.25,2.18181818181818,2.04347826086957
21,"female",12,"HS","right",2.875,3.5,3.18181818181818,3.1304347826087
19,"female",12,"HS","right",2.625,2.75,3.63636363636364,3.1304347826087
23,"female",18,"Grad_Prof","left",3.25,4,3.90909090909091,3.69565217391304
23,"male",12,"HS","right",1.5,0.25,1.09090909090909,1.08695652173913
40,"female",14,"HS","center",2.25,2.25,2.09090909090909,2.17391304347826
36,"male",17,"Grad_Prof","left",2.5,2,2.09090909090909,2.21739130434783
57,"male",17,"Grad_Prof","center",1.75,1.5,2.54545454545455,2.08695652173913
18.5,"male",12,"HS","right",3.375,2.5,2.54545454545455,2.82608695652174
30,"female",18,"Grad_Prof","left",2.125,1.5,2.81818181818182,2.34782608695652
64,"male",12,"HS","center",2.25,3.25,2.18181818181818,2.39130434782609
30,"female",15,"Coll_Univ","center",2.75,2,3.27272727272727,2.8695652173913
46,"male",15,"Coll_Univ","center",3,3.25,3.27272727272727,3.17391304347826
39,"female",12,"HS","right",3.5,3,3,3.17391304347826
54,"female",12,"HS","left",2.375,1,2,1.95652173913043
40,"female",18,"Grad_Prof","left",NA,NA,NA,NA
22,"female",15,"Coll_Univ","center",2,2.5,2.18181818181818,2.17391304347826
28,"male",14,"HS","right",NA,NA,NA,NA
57,"male",15,"Coll_Univ","left",1.875,1.75,1.90909090909091,1.8695652173913
23,"female",15,"Coll_Univ","right",2.125,1.5,2,1.95652173913043
53,"female",12,"HS","left",2.75,2.75,2.54545454545455,2.65217391304348
29,"male",15,"Coll_Univ","right",NA,NA,NA,NA
34,"male",14,"HS","center",1.5,2,2.36363636363636,2
20,"female",12,"HS","left",2.875,2.5,3.63636363636364,3.17391304347826
24,"female",15,"Coll_Univ","right",3.375,2,3.36363636363636,3.1304347826087
19,"male",12,"HS","right",2.75,2.25,1.72727272727273,2.17391304347826
63,"female",15,"Coll_Univ","left",3.5,2.75,3.54545454545455,3.39130434782609
33,"male",15,"Coll_Univ","left",1.875,1.5,2.18181818181818,1.95652173913043
34,"female",15,"Coll_Univ","center",1.875,2.25,2.18181818181818,2.08695652173913
25,"female",15,"Coll_Univ","right",1.75,1.75,1.72727272727273,1.73913043478261
53,"male",11,"Less_HS","center",3.125,2.75,3.09090909090909,3.04347826086957
20,"female",12,"HS","center",2.625,3,2.54545454545455,2.65217391304348
63,"female",12,"HS","right",3,3.25,3.09090909090909,3.08695652173913
22,"male",15,"Coll_Univ","center",2.25,0.5,2,1.82608695652174
31,"male",16,"Coll_Univ","center",NA,NA,NA,NA
24,"male",8,"Less_HS","right",1.125,1.25,1.36363636363636,1.26086956521739
32,"male",15,"Coll_Univ","center",3.25,3.25,2.45454545454545,2.8695652173913
32,"male",NA,NA,"right",NA,NA,NA,NA
28,"male",15,"Coll_Univ","right",2.875,2,1.72727272727273,2.17391304347826
69,"female",18,"Grad_Prof","center",2.875,2,2.09090909090909,2.34782608695652
69,"female",12,"HS","center",3.125,3,2.54545454545455,2.82608695652174
20,"male",12,"HS","center",2.75,3.25,1.81818181818182,2.39130434782609
57,"female",12,"HS","right",2.625,3.5,3.27272727272727,3.08695652173913
27,"male",13,"HS","left",3.375,3.25,3.36363636363636,3.34782608695652
22,"female",15,"Coll_Univ","right",2.625,1.75,1.90909090909091,2.1304347826087
27,"female",15,"Coll_Univ","right",3,2.25,2.81818181818182,2.78260869565217
24,"female",14,"HS","right",2.5,3,2.45454545454545,2.56521739130435
17,"male",12,"HS","right",NA,NA,NA,NA
22,"female",12,"HS","right",2.25,1.75,2.90909090909091,2.47826086956522
30,"male",15,"Coll_Univ","center",0.625,1.25,1.81818181818182,1.30434782608696
20,"male",14,"HS","center",0.625,2.5,1.63636363636364,1.43478260869565
25,"male",15,"Coll_Univ","center",2.125,1.25,2.18181818181818,2
26,"female",16,"Coll_Univ","right",3.125,1.75,2.27272727272727,2.47826086956522
30,"male",15,"Coll_Univ","right",2.625,2,2.27272727272727,2.34782608695652
31,"male",12,"HS","center",2.375,2,1.81818181818182,2.04347826086957
62,"female",NA,NA,"center",NA,NA,NA,NA
64,"male",22,"Grad_Prof","center",1.75,3,1.90909090909091,2.04347826086957
39,"female",20,"Grad_Prof","center",3.125,2.25,3.36363636363636,3.08695652173913
